Model,RMSE_Vitesse,RMSE_Vitesse_std,RMSE_Vitesse_Fluid,RMSE_Vitesse_Fluid_std,RMSE_Vitesse_Aneurysm,RMSE_Vitesse_Aneurysm_std,RMSE_Pression,RMSE_Pression_std,RMSE_WSS,RMSE_WSS_std,RMSE_WSS_Aneurysm,RMSE_WSS_Aneurysm_std
BAX_baseline_1,8.209,3.4962,10.5378,4.3466,13.8046,4.5805,,,,,,
BAX_baseline_2,9.6707,5.0617,12.366,6.1377,15.7902,5.8711,,,,,,
BAX_baseline_3,8.3898,2.6649,10.7712,3.235,14.0112,3.2977,,,,,,
BAX_grad_1,8.1095,2.7133,10.4149,3.2801,13.4502,3.2994,,,,,,
BAX_grad_2,10.9942,10.3989,13.9659,12.7381,17.1213,12.6175,,,,,,
BAX_grad_3,8.4834,3.6233,10.8654,4.4122,14.0491,4.6738,,,,,,
BAX_relative_1,21.8098,1.4436,28.1341,2.2257,29.1211,6.8761,,,,,,
BAX_relative_2,20.5626,1.291,26.4963,1.9281,28.8977,6.2729,,,,,,
BAX_relative_3,20.5677,1.298,26.4761,2.0007,28.7056,6.4054,,,,,,
AX_curr_1,10.3975,2.7415,10.9612,2.8687,18.2479,3.9268,,,0.2166,0.0196,0.7575,0.1901
AX_curr_2,11.2007,3.3891,11.8064,3.5504,19.2856,4.4544,,,0.2102,0.0148,0.7166,0.1732
AX_curr_3,10.9149,2.9152,11.5062,3.052,18.9486,3.649,,,0.2419,0.0569,0.9071,0.3288
AX_baseline_2,17.6854,7.2629,18.6337,7.6176,30.4866,7.939,,,0.244,0.0249,0.9422,0.2172
AX_baseline_3,20.1545,7.0723,21.2471,7.4279,35.6943,8.8395,,,0.2345,0.0139,0.8937,0.1651
BAX_relative012_1,17.6474,1.0792,22.7394,1.6364,24.5575,5.0939,,,,,,
BAX_relative012_2,17.4557,1.3466,22.4787,1.7717,25.5166,4.6539,,,,,,
BAX_relative012_3,18.193,1.5477,23.4128,2.2055,26.0777,6.2815,,,,,,
BAX_walls_1,8.5012,2.7049,10.9038,3.2555,14.449,3.1331,,,,,,
BAX_walls_2,9.1777,2.6307,11.7771,3.133,15.8552,3.017,,,,,,
BAX_walls_3,10.6686,5.9162,13.6148,7.1648,16.1657,7.0286,,,,,,
BAX_WSS_1,11.9766,2.8497,15.3593,3.4474,17.9277,3.8735,,,0.2246,0.0339,0.5807,0.1402
BAX_WSS_2,11.1335,3.3567,14.2441,4.0227,16.8879,4.0882,,,0.1949,0.0324,0.5072,0.1469
BAX_WSS_3,11.6223,4.2209,14.8889,5.1984,18.1083,5.724,,,0.2022,0.0354,0.5339,0.148
BAX_cosine_1,7.8639,2.6877,10.0950,3.2610,13.4167,3.5174,,,nan,nan,nan,nan
BAX_cosine_2,8.9124,3.7575,11.4156,4.5482,14.9591,3.9834,,,nan,nan,nan,nan
BAX_cosine_3,8.6965,3.2156,11.1618,3.8755,14.6729,3.9186,,,nan,nan,nan,nan
BAX_norm_1,9.0326,2.7629,11.6035,3.3180,15.3207,3.7504,,,nan,nan,nan,nan
BAX_norm_2,9.8541,3.3131,12.6340,3.9665,16.2015,3.4960,,,nan,nan,nan,nan
BAX_norm_3,9.1074,2.6027,11.6970,3.1408,15.2155,3.7685,,,nan,nan,nan,nan
